"brank","name","rate","ratepeople","中文名","话数","上映年度","片长","别名","放送开始","放送星期","原作","导演","脚本","分镜","演出","音乐","人物设定","分镜构图","美术监督","色彩设计","作画监督","摄影监督","原画","主题歌编曲","主题歌作曲","主题歌演出","企画","制片人","制作","动画制作","官方网站","url"
"22","涼宮ハルヒの消失","8.6","10314","凉宫春日的消失","1","2010年2月6日","162分钟","The Disappearence of Sizumiya Haruhi",,,"谷川流","武本康弘","志茂文彦、谷川流(协力)","高雄統子、武本康弘、石原立也","米田光良、山田尚子、高雄統子、坂本一也、北之原孝將、内海紘子","帆足圭吾、神前暁、石濱翔、高田龍一","池田晶子",,"田村せいき","石田奈央美","高橋博行、秋竹斉一、門脇未来、池田和美、堀口悠紀子、植野千世子、高橋真梨子","中上竜太","石立太一、瀬崎利恵、紫藤晃由、柏木平、中川裕佳子、山村卓也、小川太一、池田晶子、木上益治、大藤佐恵子、山田尚子、高雄統子、堀川一彦、北之原孝將、佐藤達也、門脇未来、内藤直、多田夏美",,,,"安田猛、岚智史、八田阳子、酒匂畅彦、井上俊次、酒匂暢彦","伊藤敦","SOS团（角川書店、角川映画、京都动画、KlockWorx、ランティス）","京都アニメーション","www.kyotoanimation.co.jp/haruhi/movie","https://bangumi.tv/subject/3375"
"23","機動警察パトレイバー 2 the Movie","8.7","1144","机动警察 和平保卫战","1","1993年8月7日",,"Mobile Police Patlabor the Movie 2 机动警察 剧场版2",,,"ヘッドギア","押井守","伊藤和典","押井守","西久保瑞穂","川井憲次","ゆうきまさみ、高田明美","今敏、竹内敦志、荒川眞嗣、水村良男、田中精美、渡部隆","小倉宏昌","遊佐久美子","黄瀬和哉","高橋明彦","石井明治、高橋ナオヒト、高岡希一、羽原信義、小森高博、高見明男、江村豊秋、児山昌弘、安藤真裕、岸田隆宏、村木靖、沖浦啓之、竹内敦志、水村良男、川名久美子、大川弘義、荒川眞嗣、高橋しんや、仲盛文、藤田しげる、菅沼栄治、星和伸、井口忠一、橋本浩一、戸部敦夫",,,,,"石川光久",,"Production I.G",,"https://bangumi.tv/subject/321"
"24","千年女優","8.6","4997","千年女优","1","2001年7月28日 (Fantasia International Film Festival)、2002年9月14日 (日本)","87分",,,,,"今敏","村井さだゆき、今敏",,"松尾衡","平沢進","本田雄、今敏",,"池信孝","橋本賢","本田雄、井上俊之、濱洲英喜、小西賢一、古屋勝悟","白井久男","熊谷哲矢、菊池聡延、中山勝一、古屋勝悟、小西賢一、鈴木美千代、堀内博之、西尾鉄也、三原三千夫、新井浩一、濱洲英喜、宮沢康紀、清水洋、井上俊之、大塚伸治","平沢進","平沢進",,"丸山正雄",,"ジェンコ","MADHOUSE",,"https://bangumi.tv/subject/840"
"25","天元突破グレンラガン","8.6","6488","天元突破 红莲螺岩","27",,,"天元突破 红莲之眼","2007年4月1日",,"GAINAX","今石洋之","山口宏、佐伯昭志、中島かずき、大塚雅彦、砂山蔵澄","佐伯昭志、大塚雅彦、摩砂雪、鶴巻和哉、今石洋之、平松禎史、中村哲治、木村哲、富田浩章、中山勝一、板垣伸、貞方希久子、大塚健、小林治、木村隆一","篠原俊哉、木村隆一、山賀博之、大塚雅彦、佐伯昭志、板垣伸、中山勝一、岩崎太郎、博史池畠、横山彰利、小林治、富田浩章、吉田徹、山口頼房、孫承希、森宮崇佳、下司泰弘、今石洋之","岩崎琢","錦織敦史",,,"高星晴美","今石洋之、阿部慎吾、錦織敦史、柴田由香、雨宮哲、すしお、高村和宏、石原満、貞方希久子、小林治、林明美、平松禎史、久保田誓、向田隆、西山忍、中村章子、平田雄三、貴志夫美子、小田剛生、芳垣祐介、近岡直","山田豊徳","中村章子、阿部厳一朗、馬越嘉彦、伊藤嘉之、松本憲生、向田隆、芳垣祐介、大塚健、菅沼栄治、赤井俊文、沼田誠也、菊田幸一、夏目真悟、林明美、西位輝実、すしお、松田宗一郎、寺野勇樹、岡勇一、沓名健一、江面久、白石亜由美、りょーちも、小島大和、佐々木啓悟、今石洋之、乘田拓茂、碇谷敦、雨宮哲、錦織敦史、石浜真史、高見明男、小田剛生、奥野浩行、高村和宏、馬場充子、三輪和宏、吉成曜、押山清高、いまざきいつき、宮沢康紀、林祐己、阿部慎吾、世良悠子、貞本義行、平松禎史",,,"中川翔子","山賀博之、夏目公一朗","鳥羽洋典、赤井孝美","テレビ東京","GAINAX","http://www.gurren-lagann.net/","https://bangumi.tv/subject/770"
"26","Rick and Morty Season 3","8.6","1423","瑞克和莫蒂 第三季","10",,,,"2017-04-01","星期六",,"Justin Roiland、Dan Harmon","Mike McMahan、Jane Becker、Jessica Gao、Sarah Carbiener、Erica Rosbe、Ryan Ridley、Tom Kauffman、Dan Guterman、James Siciliano、Justin Roiland、Dan Harmon",,"Juan Meza-León、Dominic Polcino、Anthony Chun、Bryan Newton",,,,,,,,,,,,,,,,"http://www.adultswim.com/videos/rick-and-morty/","https://bangumi.tv/subject/146457"
"27","STEINS;GATE","8.6","14875","命运石之门","25",,,"シュタゲ 石头门 斯坦因之门 シュタインズ・ゲート","2011年4月6日","星期三","5pb./Nitro++","佐藤卓哉、浜崎博嗣、小林智樹(第25話)","林直孝、根元歳三、花田十輝、横谷昌宏","サトウシンジ、村川健一郎、おざわかずひろ、小林智樹、若林漢二、佐藤卓哉、池田重隆、加藤敏幸、浜崎博嗣、小林常夫","池田重隆、平向智子、おざわかずひろ、佐藤卓哉、小林公二、若林漢二、美甘義人、浜崎博嗣、下田久人、土屋浩幸、立川譲、小林智樹","阿保剛、村上純","坂井久太",,"衛藤功二、坂東宏美、村井弘子","佐藤美由紀","坂井久太、稲吉朝子、新井伸浩、泉保良輔、武本大介、吉井弘幸、山本善哉","中村圭介","久行宏和、奥田陽介、阿部島瑠珠、越智信次、伊藤良太、坂井久太、大石美絵、佐藤利幸、碇谷敦、熊谷勝弘、冨岡寛",,,"いとうかなこ","安田猛","五味健次郎",,"WHITE FOX","http://steinsgate.tv/","https://bangumi.tv/subject/10380"
"28","千と千尋の神隠し","8.6","10303","千与千寻","1","2001年7月20日","124分钟","千与千寻的神隐 神隱少女 Spirited Away Sen to Chihiro no Kamikakushi",,,"宮崎駿","宮崎駿","宮崎駿",,,"久石譲",,,"武重洋二","保田道世","安藤雅司、賀川愛、片塰満則、高坂希太郎","奥井敦","稲村武志、山田憲一、松瀬勝、芳尾英明、山森英司、中村勝利、小野田和由、鈴木麻紀子、松尾真理子、田村篤、米林宏昌、藤井香織、山田珠美、二木真希子、百瀬義行、山下明彦、武内宣之、古屋勝悟、倉田美鈴、山形厚史、君島繁、山川浩臣、大杉宣弘（大杉宜弘）、田中雄一、金子志津枝、古川尚哉、小西賢一、大城勝、大平晋也、橋本晋治、中山久司（森久司）、高野登、篠原征子、石井邦幸、山内昇寿郎、テレコム・アニメーションフィルム（田中敦子）、濱洲英喜",,,,,"鈴木敏夫","松下武義、氏家齊一郎、成田豊、星野康二、植村伴次郎、相原宏徳","スタジオジブリ","https://web.archive.org/web/20020123145831/http://sentochihiro.com/","https://bangumi.tv/subject/311"
"29","ARIA The ORIGINATION","8.6","1405","水星领航员 第三季","14",,,"アリア The ORIGINATION","2008年1月7日","星期一","天野こずえ","佐藤順一","布施木一喜、浦畑達彦、吉田玲子、藤咲あゆな、竹下健一","布施木一喜、和田高明、竹下健一、佐藤順一、伊藤達文、井上英紀、名取孝浩","和田高明、布施木一喜、佐藤順一、筑紫大介、伊藤達文、井上英紀、名取孝浩、奥野耕太","Choro Club、妹尾武","古賀誠","小村方宏治",,"川上善美","藤本さとる、和田高明、杉本功、伊藤郁子、井上英紀、音地正行、門之園恵美、上田幸一郎、児玉亮、谷川亮介、森田史","吉田寛","追崎史敏、鈴木俊二、伊藤郁子、井上英紀、原田大基、和田高明、前田義宏、酒井和男、伊藤達文、熊谷勝弘、耳浦朋彰、小村方宏治",,,"牧野由依",,,"ARIAカンパニー","Hal Film Maker","http://www.ariacompany.net/3rd/","https://bangumi.tv/subject/1270"
"30","サムライチャンプルー","8.5","4522","混沌武士","26",,,"SAMURAI CHAMPLOO 琉球武士疯云录 琉球狂侍 杂烩武士","2004年5月19日","星期三","Manglobe","渡辺信一郎","小原信治（主编剧）、待田堂子、佐藤大、杉良太、信本敬子、渡辺信一郎、中澤一登、高木聖子","村瀬修功、中澤一登、近藤日葉、今石洋之、増井壮一、岡村天斎、大橋誉志光、片山一良、須永司、山本沙代、渡辺信一郎、横山彰利、米たにヨシトモ、赤根和樹","横山彰利、村瀬修功、中澤一登、恒松圭、吉村章、井之川慎太郎、三好正人、山本沙代、遠藤広隆、熨斗谷充孝、吉本毅、笹嶋啓一、渡辺信一郎","TSUTCHIE, Fat Jon, Nujabes, FORCE OF NATURE","中澤一登",,"脇威志","鈴木依里","石井ゆみこ、鈴木卓也、伊東伸高、山田正樹、清水貴子、山下喜光、中澤一登、竹内進二、谷口守泰、中本尚子、鈴木竜也",,"鈴木竜也、吉田泰三、寺岡巌、水畑健二、向田隆、小池健、堀剛史、小渕陽介、大川原保豪、加藤里香、佐々木洋平、いがりたかし、鈴木典光、山田正樹、阿部慎吾、木下由美子、湯浅政明、村瀬修功、橋本晋治、横山彰利、塩谷直義、高井浩一、堀井伸雄、小松英司、山下喜光、鈴木卓也、伊東伸高、西山忍、熊膳貴志、武本大介、中島美子、若野哲也、中澤一登、小森秀人、五反孝幸、村松尚雄、亀井幹太、後藤圭二、中谷誠一、又賀大介、室井ふみえ、海堂ヒロユキ、安彦英二、髙田晃、阿部美佐緒、深澤学、竹内進二、中澤勇一、原田大基、森田岳士、大下知之、光田史亮、寺野勇樹、舛田裕美、江本正弘",,,,"小林真一郎、佐々木史朗",,,"Manglobe","http://www.samuraichamploo.com/","https://bangumi.tv/subject/254"
"31","Rick and Morty Season 2","8.6","1449","瑞克和莫蒂 第二季","10",,,"瑞奇和莫迪 第二季","2015-07-26",,,"Justin Roiland、Dan Harmon","Justin Roiland、Dan Harmon、Matt Roller、David Phillips、Ryan Ridley、Mike McMahan、Tom Kauffman、Dan Guterman、Alex Rubens",,"Wes Archer、Dominic Polcino、Bryan Newton、Juan Meza-León",,,,,,,,,,,,,,,,"http://video.adultswim.com/rick-and-morty/","https://bangumi.tv/subject/141530"
"32","大闹天宫","8.6","2560","大闹天宫","1","1961年","约110分钟","Sun Ukun: Uproar in Heaven Da nao tien gong Havoc in Heaven The Monkey King 大暴れ孫悟空 大鬧天宮",,,"吴承恩","万籁鸣","李克弱、万籁鸣",,,"作曲：吴应炬；演奏：上海电影乐团、上海京剧院乐团、新华京剧团乐队；指挥：陈传熙、张鑫海、王玉璞",,,,,,"段孝萱、王世荣","张世明、段睿、阎善春、严定宪、葛桂云、陆青、浦家祥、林文肖",,,,,,"上海美术电影制片厂",,,"https://bangumi.tv/subject/1962"
"33","蟲師 続章 第2クール","8.5","2047","虫师 续章 第2期","10",,,"虫师 续章 后半期","2014年10月18日","星期六","漆原友紀","長濵博史","長濵博史","長濵博史、桜井弘明、そ～とめこういちろう、大地丙太郎","布施康之、大久保富彦、木村泰大","増田俊郎","馬越嘉彦",,"脇威志","山崎朋子、松森より子","馬場充子、飯飼一幸、関口雅浩、安彦英二、西位輝実、佐藤浩一、津熊健徳、馬越嘉彦","中村雄太","山崎淳、馬場充子、馬越嘉彦、青木康哲、西位輝実、安彦英二、杉光登、田中将賀、大久保富彦、佐藤浩一",,,,,,,"ARTLAND","http://www.mushishi-anime.com/","https://bangumi.tv/subject/106207"
"34","進撃の巨人 The Final Season","8.6","1268","进击的巨人 最终季","16",,,"进击的巨人 第四季","2020年12月6日",,"諫山創（別冊少年マガジン連載／講談社）","林祐一郎","瀬古浩司","林祐一郎、西山壮海、金井次郎、大塩万次郎、宍戸淳、徳土大介、新留俊哉、西本由紀夫","茉田哲明、楊烈駿、山本陽介、曹毅、徳土大介、牧田佳織、髙橋英俊、宍戸淳、大峰輝之、西山壮海","澤野弘之、KOHTA YAMAMOTO","岸友洋",,"小倉一男","末永絢子","岸友洋、宇良隆太、酒井智史、加藤雅之、木村友紀、藤優子、池田智志、古俣太一、小松寛子","浅川茂輝","田中比呂人、仁保知行、酒井智史、古俣太一、朱晓玥、宍戸淳、林祐一郎、亀田祥倫、杉江敏治、渡部尭皓、羅燦然",,,"神聖かまってちゃん、安藤裕子","大塚学、石川光久","木村誠",,"MAPPA","https://shingeki.tv/final/","https://bangumi.tv/subject/285666"
"35","蟲師 続章","8.5","2526","虫师 续章","11",,,"Mushi-Shi: Next Passage Mushishi Zoku Shou 虫师 续章 前半期 虫师 续章 第1期","2014年4月4日","星期五","漆原友紀","長濵博史","長濵博史","長濵博史、そ～とめこういちろう","下司泰弘、長濵博史、木村延景、そ～とめこういちろう","増田俊郎","馬越嘉彦",,"脇威志","山崎朋子、齋藤亜沙美、松森より子","加々美高浩、西位輝実、馬場充子、安彦英二、杉光登、馬越嘉彦","中村雄太","白井伸明、飯飼一幸、加々美高浩、山崎淳、小室未来",,,,,,,"アニメーションスタジオ・ アートランド、ARTLAND","http://www.mushishi-anime.com/","https://bangumi.tv/subject/92705"
"36","ハチミツとクローバー II","8.5","2651","蜂蜜与四叶草II","12",,,"ハチミツとクローバーⅡ","2006年6月29日","星期四","羽海野チカ","長井龍雪","黒田洋介","大畑清隆、高田耕一、鵜飼ゆうき、浅野勝也、長井龍雪、福田道生","武山篤、池端隆史、浅野勝也、福田道生、長井龍雪、高島大輔、鈴木洋平、秋田谷典昭、上田繁、佐々木皓一","DEPAPEPE、林有三＆サロン'68","島村秀一",,"柴田千佳子","石田美由紀","兵渡勝、加藤万由子、吉田隆彦、中野彰子、梶谷光春、井嶋けい子、川田剛、住本悦子、福田道生、都築裕佳子、野村芙沙子","大河内喜夫","竹内哲也、矢向宏志、梶谷光春、田中将賀、橘秀樹、足立慎吾、冨岡寛、松浦麻衣、島村秀一、石原恵治、向川原憲、櫻井親良、光田史亮、福島喜晴、福田道生、岸友洋、大塚舞、吉田徹、新井伸浩、岡勇一",,,"DEPAPEPE",,"松倉友二",,"J.C.STAFF","http://www.hachikuro.net/","https://bangumi.tv/subject/848"
"37","機動戦士ガンダム0080 ポケットの中の戦争","8.5","2044","机动战士高达0080 口袋里的战争","6",,,"MOBILE SUIT GUNDAM 0080 War in the Pocket",,,"矢立肇、富野由悠季","高山文彦","山賀博之","高山文彦、高松信司、佐藤順一","高山文彦、高松信司、横山広行","かしぶち哲郎","美樹本晴彦",,"脇威志、池田繁美",,"富沢和雄、窪岡俊之、小林利充、岩瀧智、川元利浩、齊藤格","奥井敦","重田敦司、重田智、川元利浩、本田雄、千明孝一、佐野浩敏、小原秀一、窪岡俊之、大河原晴男、木場田実、菅沼栄治、磯光雄、小林利充、上野ケン、稲野義信、南伸一郎",,,,"SUNRISE",,,"サンライズ",,"https://bangumi.tv/subject/1015"
